,0,1
0,38276889,합정고깃집
1,1508260607,최강금돈까스
2,38262843,잇텐고
3,1476397400,아우룸
4,1018438355,지리
5,38555759,크레이지카츠
6,1676250764,라무라
7,1704339246,윤멘
8,625311806,감성타코 합정점
9,1062472699,스프링비스트로
10,19594124,뉴욕아파트먼트
11,1634128388,콘크리트 엔젤
12,1070992505,간코 합정본점
13,37434385,합정옥
14,1431631412,함반
15,811550330,밤부 베이커리&브루잉
16,1711991549,연어촌
17,18772202,돌황소곱창
18,1346796179,크리스피프레시 합정점
19,1132863024,합정티라미수
20,1630572480,마부자생삼겹살 합정점
21,1070761534,백두한우곱창
22,1200799924,미미본관
23,1552053924,묘한식탁
24,1363561300,스시미야비
25,37286386,카에루
26,993990809,오스테리아샘킴
27,1750570304,이가네양꼬치 합정점
28,1674636341,국제양식
29,1153543220,미지 한식 오마카세
30,1082295223,아웃백스테이크하우스 합정점
31,1255383366,넌덕
32,1344006523,감성바베큐
33,33636548,덕이손만두
34,1728178907,빕스 합정역점
35,1111599187,히게쯔라
36,38009729,남고집 합정
37,38016085,새벽숯불가든
38,18791537,마포소금구이
39,1836765337,스케줄합정
40,552735719,스트라다로스터스
41,1097253141,돼지전 합정점
42,1469852240,얼맥당 합정점
43,18364083,양화정
44,1954674068,카페163
45,38681947,아빠의양식당
46,1954436170,페페로니
47,37414199,경성양꼬치 합정점
48,1526062253,피슈마라홍탕 합정점
49,38641874,연희중식 마포합정본점
50,1082109729,매드포갈릭 합정점
51,1266638776,합정공감
52,37495195,합정뒷고기
53,1241375855,미삼
54,1287775548,육지
55,1882335739,은하루
56,38233925,스타벅스 합정점
57,100992157,대한각
58,1527559550,미카도스시 합정역점
59,1831597455,텍사스바베큐레스토랑
60,33210008,생어거스틴 합정메세나폴리스점
61,468898817,남자식탁
62,1675859519,금문중화요리
63,1426163982,슬오라
64,1544825593,이몸이만든빵
65,1697902012,대세 박목살 합정점
66,1953894238,카페 너와 늘
67,1217213059,채선당 샤브보트 합정딜라이트점
68,37263734,둥둥막창구이
69,50564877,신야텐야 합정교보문고점
70,1568802813,미야비 1호점
71,1279919457,교자바소량
72,184812054,곤트란쉐리에 합정점
73,1244383648,돼지굴
74,1679567415,카페고마워늘
75,1216931278,신가네빨간집뼈해장국
76,959037931,더플레이스 합정역점
77,1144806744,와인동산
78,1519192391,구르미과자점
79,35222006,카즈
80,1465168736,바람잔
81,1116238184,오리가미클럽
82,579655219,넉탐
83,33510980,참숯불풍천장어
84,738583313,육전면사무소 합정역점
85,1589734404,바람길
86,814481697,오레노라멘 본점
87,13531524,지리산어탕국수 합정점
88,1348768821,어글리베이커리
89,446042044,포로이 합정점
90,36615089,굿애프터눈 합정점
91,1891825973,형제한우곱창 합정직영점
92,1988455172,소설원 망원
93,1283456170,커피기업 합정교보문고점
94,13155959,마산식당
95,859857359,옥동식
96,1106675065,만복국수집 합정역점
97,11691269,굴사냥 합정점
98,36715026,더심플한테이블 메세나폴리스점
99,31583220,망원동즉석우동 본점